FAO_name,exclude,exclude_no_seaweed,exclude_no_nei,alias,notes,notes_2,Taxon_code,family
Sea belt,1,1,1,NA,seaweed,"non-food use determined using SINTEF Fisheries and Aquaculture Norway (sea belt is also Saccharina latissima or sugar kelp, mostly used for processed agar in Norway, food market growing but seems to be small): https://www.innovasjonnorge.no/contentassets/95273c625e1c4b4caf8b4d0a36020dc0/2014-sintef---seaweed-in-the-bioeconomy.pdf; not mentioned as a main use in Forbord et al 2012: https://link.springer.com/article/10.1007/s10811-011-9784-y",AL,Algae
Sea cucumbers nei,0,0,0,NA,,,NS-INV,Cucumriidae
Sea lettuces nei,0,1,0,NA,seaweed,https://caseagrant.ucsd.edu/seafood-profiles/sea-lettuce-0,AL,Algae
Sea mussels nei,0,0,0,NA,,,BI,Mytilidae
Sea snails,0,0,0,NA,,,BI,Liparidae
Sea squirts nei,0,0,0,NA,,,TUN,Pyuridae
Sea trout,0,0,0,NA,,,F,Sciaenidae
Sea urchins nei,0,0,0,NA,,,URCH,Strongylocentrotidae
Seabasses nei,0,0,0,NA,,,F,Serranidae
Seaweeds nei,0,1,1,NA,seaweed,"food use determined using production value range and variety of countries - since most seaweeds are used for human consumption, include ",AL,Algae
Senegalese sole,0,0,0,NA,,,F,Soleidae
Sharpsnout seabream,0,0,0,NA,,,F,Sparidae
Shi drum,0,0,0,NA,,,F,Sciaenidae
Short-finned eel,1,1,1,NA,freshwater,,F,Anguillidae
Silver barb,1,1,1,NA,freshwater,,F,Cyprinidae
Silver carp,1,1,1,NA,freshwater,,F,Cyprinidae
Silver seabream,1,1,1,NA,freshwater,,F,Sparidae
Silversides(=Sand smelts) nei,1,1,1,NA,freshwater,,F,Atherinidae
Sixfinger threadfin,0,0,0,NA,,,F,Polynemidae
Slender wart weed,1,1,1,NA ,seaweed ,Not much information at all on this. ,AL,Algae
Slipper cupped oyster,0,0,0,Cupped oysters nei,,,BI,Ostreidae
Smooth giant clam,0,0,0,NA,,,BI,Cardiidae
Smooth mactra,0,0,0,NA,,,BI,Mactridae
Snappers nei,0,0,0,NA,,,F,Lutjanidae
"Snappers, jobfishes nei",0,0,0,NA,,,F,Lutjanidae
Snooks(=Robalos) nei,0,0,0,NA,,,F,Centropomidae
Snubnose pompano,0,0,0,NA,,,F,Carangidae
So-iuy mullet,0,0,0,NA,,,F,Mugilidae
Sobaity seabream,0,0,0,NA,,,F,Sparidae
Sockeye(=Red) salmon,0,0,0,NA,,,F,Salmonidae
Solen razor clams nei,0,0,0,"Clams, etc. nei",,,BI,Soleidae
Soles nei,0,0,0,NA,,,F,Achiridae
South American rock mussel,0,0,0,NA,,,BI,Mytilidae
Southern Australia scallop,0,0,0,NA,,,BI,Pectinidae
Southern bluefin tuna,0,0,0,NA,,,F,Scombridae
Southern white shrimp,0,0,0,NA,,,SH,Penaeidae
Speckled longfin eel,0,0,0,NA,,,F,Anguillidae
Speckled shrimp,0,0,0,NA,,,SH,Penaeidae
Spinefeet(=Rabbitfishes) nei,0,0,0,Metapenaeus shrimps nei,,,F,Siganidae
Spinous spider crab,0,0,0,NA,,,CRUST,Portunidae
Spiny eucheuma,1,1,1,NA,seaweed:carrageenan,"non-food use, primary carageenan use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm",AL,Algae
Spiny lobsters nei,0,0,0,NA,,,CRUST,Palinuridae
Spirulina nei,1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL,Algae
Spotted coralgrouper,0,0,0,Groupers nei,,,F,Serranidae
Spotted rose snapper,0,0,0,Snappers nei,,,F,Lutjanidae
Spotted seabass,0,0,0,Seabasses nei,,,F,Serranidae
Spotted wolffish,0,0,0,NA,,,F,Anarhichadidae
Squaretail mullet,0,0,0,NA,,,F,Mugilidae
Starry sturgeon,0,0,0,Sturgeons nei,,,F,Acipenseridae
Stony sea urchin,0,0,0,Sea urchins nei,,,URCH,Parechinidae
Streaked spinefoot,0,0,0,NA,,,F,Siganidae
Striped bass,0,0,0,Seabasses nei,,,F,Moronidae
"Striped bass, hybrid",0,0,0,Seabasses nei,,,F,Moronidae
Striped venus,0,0,0,NA,,,BI,Veneridae
Stromboid conchs nei,0,0,0,NA,,,BI,Strombidae
Sturgeons nei,0,0,0,NA,,,F,Acipenseridae
"Swimming crabs, etc. nei",0,0,0,NA,,,CRUST,Portunidae
Sydney cupped oyster,0,0,0,Cupped oysters nei,,,BI,Ostreidae
Tangle,1,1,1,NA,industrial uses,"non-food use determined by Irishseaweeds (tangle is Laminaria digitata): http://www.irishseaweeds.com/kelp-laminaria-digitata/; biotech use: http://www.bim.ie/our-work/projects/developing,irish,seaweed,farming,for,high,value,products/",AL,Algae
Tarpon,0,0,0,NA,,,F,Centropomidae
Thinlip grey mullet,0,0,0,NA,,,F,Mugilidae
Tiger pufferfish,0,0,0,NA,,,F,Tetraodontidae
"Tiger-dragon grouper, hybrid",0,0,0,Groupers nei,,,F,Serranidae
Tilapias nei,1,1,1,NA,freshwater,,F,Cichlidae
Torpedo-shaped catfishes nei,1,1,1,NA,freshwater,,F,Ictaluridae
Tropical spiny lobsters nei,0,0,0,NA,,,CRUST,Palinuridae
Trouts nei,0,0,0,NA,,,F,Sciaenidae
Trumpet emperor,0,0,0,NA,,,F,Lethrinidae
Tuberculate abalone,0,0,0,NA,,,BI,Haliotidae
Turbot,0,0,0,NA,,,F,Chernetidae
Two-spot red snapper,0,0,0,Snappers nei,,,F,Lutjanidae
Twobar seabream,0,0,0,NA,,https://www.fishbase.se/summary/4543,F,Sparidae
Variegated scallop,0,0,0,NA,,,BI,Pectinidae
Venus clams nei,0,0,0,"Clams, etc. nei",,,BI,Veneridae
Waigieu seaperch,0,0,0,NA,,,F,Latidae
Wakame,0,1,0,NA,seaweed: food,food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL,Algae
Wakame nei,0,1,1,NA,seaweed: food,food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL,Algae
Warty gracilaria,1,1,1,NA,seaweed,non-food use determined by FAO: http://www.fao.org/fishery/culturedspecies/Gracilaria_spp/en,AL,Algae
Warty venus,0,0,0,NA,,,BI,Veneridae
White seabream,0,0,0,NA,,,F,Sparidae
White trevally,0,0,0,NA,,,F,Carangidae
White-spotted spinefoot,0,0,0,NA,,,F,Siganidae
Whiteleg shrimp,0,0,0,NA,,,SH,Penaeidae
Whitemouth croaker,0,0,0,NA,,,F,Sciaenidae
Yellowback seabream,0,0,0,NA,,,F,Sparidae
Yellowfin seabream,0,0,0,NA,,,F,Sparidae
Yellowfin tuna,0,0,0,NA,,,F,Scombridae
Yellowtail amberjack,0,0,0,NA,,,F,Carangidae
Yesso scallop,0,0,0,NA,,,BI,Pectinidae
